tadig,country,network,access_fee_eur,data_per_mb,is_prohibited,no_roaming,data_not_launched,no_resell,comments
CZERM,Czech Republic,T-Mobile,0.0,30.0,True,False,False,False,prohibited network
DNKDM,Denmark,Telenor A/S,0.0,0.006,False,False,False,False,
DNKHU,Denmark,Hi3G Access AB 2,0.17,0.01,False,False,False,False,Access fee
DNKIA,Denmark,Telia Mobile,0.055,0.01,False,False,False,False,Access fee
DNKTD,Denmark,TDK-Mobil,0.05,0.01,False,False,False,False,Access fee
DJIDJ,Djibouti,Djibouti Telecom SA (Evatis),0.0,30.0,False,False,False,False,
DMACW,Dominica,Cable & Wireless,0.0,0.1,False,False,False,False,
DOMAC,Dominican Republic,Trilogy Dominicana S.A.,0.0,0.2,False,False,False,False,
DOM01,Dominican Republic,Orange,0.0,0.06,False,False,False,False,
DOMCL,Dominican Republic,Claro Dominicana,0.0,0.06,False,True,False,True,"No resell on domestic market, no permanent roaming"
TLSTC,East Timor,PT Telekomunikasi Indonesia International Networks,0.0,0.0,False,False,False,False,services not available
ECUPG,Ecuador,Claro,0.0,0.1,False,True,False,True,"No resell on domestic market, no permanent roaming"
ECUOT,Ecuador,Telefonica,0.0,0.07,False,False,False,False,
EGYAR,Egypt,Orange Egypt,0.0,0.06,False,False,False,False,
EGYEM,Egypt,Etisalat,0.0,0.05,False,False,False,False,
EGYMS,Egypt,Vodafone Egypt,0.0,0.2,False,False,False,False,
SLVTM,El Salvador,Telemovil (Millicom),0.06,0.012,False,False,False,False,Access fee
SLVTP,El Salvador,Claro,0.0,0.0,False,True,False,True,"No resell on domestic market, no permanent roaming"
SLVDC,El Salvador,Digicel,0.05,0.1,False,False,False,False,Access fee
GNQHT,Equatorial Guinea,Green Com S.A,0.0,0.2,False,False,False,False,
ESTRB,Estonia,Tele2 Eesti AS,0.0,0.006,False,False,False,False,
ESTRE,Estonia,Elisa Eesti,0.0,0.01,False,False,False,False,Access fee
ESTEM,Estonia,Telia,0.055,0.01,False,False,False,False,Access fee
SWZMN,Eswatini,MTN,0.0,0.0,False,False,False,False,services not available
ETH01,Ethiopia,ETC,0.0,30.0,False,False,False,False,
FROKA,Faroe Islands,Kall Vodafone,0.0,0.01,False,False,False,False,
FROFT,Faroe Islands,Faroese Telecom,0.0,0.06,False,False,False,False,
FJIDP,Fiji,Digicel Fiji and Nauru,0.0,0.5,False,False,False,False,
FIN2G,Finland,DNA,0.0,0.01,False,False,False,False,
FINAM,Finland,GSM Aland,0.0,0.01,False,False,False,False,
FINRL,Finland,Elisa,0.05,0.006,False,False,False,False,Access fee
FINTF,Finland,Sonera,0.055,0.01,False,False,False,False,Access fee
FRAF1,France,Orange,0.022,0.006,False,False,False,False,Access fee
FRAF2,France,SFR,0.0,0.01,False,False,False,False,
FRAF3,France,Bouygues Telecom,0.0,0.01,False,False,False,False,
FRAFM,France,Free Mobile,0.0,0.01,False,False,False,False,
11111,French Guiana,11111,0.0,0.0,False,False,False,False,Access fee
PYFVF,French Polynesia,Pacific Mobile Telecom,0.0,0.0,False,False,False,False,
FRATK,French Polynesia,Tikiphone,0.0,1.0,False,False,False,False,
GABCT,Gabon,Airtel (Zain),0.0,0.3,False,False,False,False,
GMB01,Gambia,Gamcel,0.0,0.0,False,False,True,False,data not launched
GMBCM,Gambia,GMB COMIUM,0.0,0.0,False,False,True,False,data not launched
GMBAC,Gambia,Africell (Gambia) Ltd,0.0,0.1,False,False,False,False,
GMBQC,Gambia,Qcell,0.0,1.0,False,False,False,False,
GEOGC,Georgia,GeoCell,0.0,0.06,False,False,False,False,
GEOMA,Georgia,Magti GSM,0.0,0.25,False,False,False,False,
GEOMT,Georgia,Beeline,0.045,0.02,False,False,False,False,Access fee
DEUD2,Germany,Vodafone,0.0,0.01,False,False,False,False,
DEUE1,Germany,E plus,0.0,0.01,False,False,False,False,
DEUE2,Germany,O2,0.007,0.006,False,False,False,False,Access fee
DEUD1,Germany,T-Mobile,0.0,30.0,True,False,False,False,prohibited network
GHAGT,Ghana,Vodafone Ghana,0.0,0.06,False,False,False,False,
GHAMT,Ghana,Mobitel,0.0,0.1,False,False,False,False,
GHASC,Ghana,MTN,0.0,0.02,False,False,False,False,
GHAZN,Ghana,Airtel,0.0,0.5,False,False,False,False,
GIBGT,Gibraltar,Gibtel,0.0,0.01,False,False,False,False,
GRCPF,Greece,Vodafone,0.0,0.005,False,False,False,False,
GRCSH,Greece,Wind Hellas,0.0,0.00498,False,False,False,False,
GRCCO,Greece,Cosmote,0.0,30.0,True,False,False,False,prohibited network
GRLTG,Greenland,Telegreenland 900,0.0,0.06,False,False,False,False,
GRDCW,Grenada,Cable & Wireless,0.0,0.1,False,False,False,False,
FRAF4,Guadeloupe,Digicel,0.05,0.05,False,False,False,False,Access fee
GUMHT,Guam,"Docomo Pacific, Inc",0.0,30.0,False,False,False,False,
GTMCM,Guatemala,Comcel (Millicom),0.06,0.012,False,False,False,False,Access fee
GTMTG,Guatemala,Telefonica Moviles Guatamala,0.0,0.02,False,True,False,True,"No resell on domestic market, no permanent roaming"
GTMSC,Guatemala,Sercom-Claro,0.0,0.02,False,True,False,True,"No resell on domestic market, no permanent roaming"
GBRAJ,Guernsey,Airtel Vodafone,0.0,0.02,False,False,False,False,
GINGS,Guinea,Orange,0.0,0.0,False,False,True,False,data not launched
GINAG,Guinea,Areeba/MTN-Guinea,0.0,0.02,False,False,False,False,
GNBSB,Guinea Bissau,MTN,0.0,0.02,False,False,False,False,
GUYUM,Guyana,Digicel,0.05,0.1,False,False,False,False,Access fee
HTICL,Haiti,ComCEL,0.05,0.1,False,False,False,False,Access fee
HND02,Honduras,Celtel TIGO (Millicom),0.06,0.012,False,False,False,False,Access fee
HNDME,Honduras,Claro,0.0,0.5,False,True,False,True,"No resell on domestic market, no permanent roaming"
HKGHT,Hong Kong,H3G,0.0,0.06,False,False,False,False,
HKGM3,Hong Kong,PCCW,0.0,0.06,False,False,False,False,
HKGH3,Hong Kong,H3G Hong Kong,0.0,0.06,False,False,False,False,
HKGPP,Hong Kong,Peoples,0.0,0.06,False,False,False,False,
HKGSM,Hong Kong,SMC,0.0,0.06,False,False,False,False,
HKGTC,Hong Kong,CWHKT,0.0,0.06,False,False,False,False,
HUNH1,Hungary,Telenor,0.06,0.006,False,False,False,False,Access fee
HUNVR,Hungary,Vodafone,0.0,0.01,False,False,False,False,
HUNH2,Hungary,T-Mobile,0.0,30.0,True,False,False,False,prohibited network
ISLNO,Iceland,Nova,0.0,0.006,False,False,False,False,
ISLPS,Iceland,Siminn,0.0,0.01,False,False,False,False,
ISLTL,Iceland,Vodafone,0.0,0.01,False,False,False,False,
INDBT,India,Vodafone Cellular Limited,0.0,0.2,False,False,False,False,
INDCC,India,Vodafone East Limited,0.0,0.2,False,False,False,False,
